Code,State No,Name,sum_quotes,mean_quotes,min_quotes,max_quotes
AL,01,Alabama,119.0,3.4,1.0,5.0
AK,02,Alaska,0.0,0.0,0.0,0.0
AZ,04,Arizona,73.0,3.1739130434782608,0.0,4.0
AR,05,Arkansas,2.0,2.0,2.0,2.0
CA,06,California,150.0,1.1278195488721805,0.0,5.0
CO,08,Colorado,97.0,2.7714285714285714,1.0,6.0
CT,09,Connecticut,0.0,0.0,0.0,0.0
DE,10,Delaware,0.0,0.0,0.0,0.0
DC,11,District of Columbia,0.0,0.0,0.0,0.0
FL,12,Florida,0.0,0.0,0.0,0.0
GA,13,Georgia,875.0,3.1362007168458783,1.0,6.0
HI,15,Hawaii,0.0,0.0,0.0,0.0
ID,16,Idaho,1.0,1.0,1.0,1.0
IL,17,Illinois,795.0,4.818181818181818,1.0,7.0
IN,18,Indiana,14.0,4.666666666666667,4.0,5.0
IA,19,Iowa,28.0,5.6,4.0,6.0
KS,20,Kansas,0.0,0.0,0.0,0.0
KY,21,Kentucky,38.0,5.428571428571429,4.0,7.0
LA,22,Louisiana,0.0,0.0,0.0,0.0
ME,23,Maine,0.0,0.0,0.0,0.0
MD,24,Maryland,340.0,3.7362637362637363,0.0,5.0
MA,25,Massachusetts,0.0,0.0,0.0,0.0
MI,26,Michigan,130.0,1.7567567567567568,0.0,6.0
MN,27,Minnesota,12.0,4.0,4.0,4.0
MS,28,Mississippi,0.0,0.0,0.0,0.0
MO,29,Missouri,27.0,2.7,1.0,4.0
MT,30,Montana,0.0,0.0,0.0,0.0
NE,31,Nebraska,0.0,0.0,0.0,0.0
NV,32,Nevada,117.0,4.875,4.0,6.0
NH,33,New Hampshire,0.0,0.0,0.0,0.0
NJ,34,New Jersey,0.0,0.0,0.0,0.0
NM,35,New Mexico,0.0,0.0,0.0,0.0
NY,36,New York,552.0,2.098859315589354,0.0,4.0
NC,37,North Carolina,0.0,0.0,0.0,0.0
ND,38,North Dakota,0.0,0.0,0.0,0.0
OH,39,Ohio,80.0,3.8095238095238093,2.0,5.0
OK,40,Oklahoma,0.0,0.0,0.0,0.0
OR,41,Oregon,0.0,0.0,0.0,0.0
PA,42,Pennsylvania,178.0,3.423076923076923,1.0,7.0
RI,44,Rhode Island,0.0,0.0,0.0,0.0
SC,45,South Carolina,26.0,1.0833333333333333,0.0,4.0
SD,46,South Dakota,0.0,0.0,0.0,0.0
TN,47,Tennessee,117.0,3.5454545454545454,3.0,4.0
TX,48,Texas,662.0,4.534246575342466,0.0,7.0
UT,49,Utah,52.0,5.2,4.0,7.0
VT,50,Vermont,0.0,0.0,0.0,0.0
VA,51,Virginia,229.0,4.673469387755102,0.0,8.0
WA,53,Washington,128.0,2.9767441860465116,1.0,6.0
WV,54,West Virginia,2.0,2.0,2.0,2.0
WI,55,Wisconsin,2.0,2.0,2.0,2.0
WY,56,Wyoming,0.0,0.0,0.0,0.0
